,BinaryLabel,Model__learning_rate,Model__max_depth,Model__min_child_weight,Model__n_estimators,preprocessor__num__scaler
0,0,0.001,2,1,25,StandardScaler()
1,0,0.001,2,1,25,MinMaxScaler()
2,0,0.001,2,1,25,RobustScaler()
3,0,0.001,2,1,50,StandardScaler()
4,0,0.001,2,1,50,MinMaxScaler()
5,0,0.001,2,1,50,RobustScaler()
6,0,0.001,2,1,75,StandardScaler()
7,0,0.001,2,1,75,MinMaxScaler()
8,0,0.001,2,1,75,RobustScaler()
9,0,0.001,2,1,100,StandardScaler()
10,0,0.001,2,1,100,MinMaxScaler()
11,0,0.001,2,1,100,RobustScaler()
12,0,0.001,2,3,25,StandardScaler()
13,0,0.001,2,3,25,MinMaxScaler()
14,0,0.001,2,3,25,RobustScaler()
15,0,0.001,2,3,50,StandardScaler()
16,0,0.001,2,3,50,MinMaxScaler()
17,0,0.001,2,3,50,RobustScaler()
18,0,0.001,2,3,75,StandardScaler()
19,0,0.001,2,3,75,MinMaxScaler()
20,0,0.001,2,3,75,RobustScaler()
21,0,0.001,2,3,100,StandardScaler()
22,0,0.001,2,3,100,MinMaxScaler()
23,0,0.001,2,3,100,RobustScaler()
24,0,0.001,4,1,25,StandardScaler()
25,0,0.001,4,1,25,MinMaxScaler()
26,0,0.001,4,1,25,RobustScaler()
27,0,0.001,4,1,50,StandardScaler()
28,0,0.001,4,1,50,MinMaxScaler()
29,0,0.001,4,1,50,RobustScaler()
30,0,0.001,4,1,75,StandardScaler()
31,0,0.001,4,1,75,MinMaxScaler()
32,0,0.001,4,1,75,RobustScaler()
33,0,0.001,4,1,100,StandardScaler()
34,0,0.001,4,1,100,MinMaxScaler()
35,0,0.001,4,1,100,RobustScaler()
36,0,0.001,4,3,25,StandardScaler()
37,0,0.001,4,3,25,MinMaxScaler()
38,0,0.001,4,3,25,RobustScaler()
39,0,0.001,4,3,50,StandardScaler()
40,0,0.001,4,3,50,MinMaxScaler()
41,0,0.001,4,3,50,RobustScaler()
42,0,0.001,4,3,75,StandardScaler()
43,0,0.001,4,3,75,MinMaxScaler()
44,0,0.001,4,3,75,RobustScaler()
45,0,0.001,4,3,100,StandardScaler()
46,0,0.001,4,3,100,MinMaxScaler()
47,0,0.001,4,3,100,RobustScaler()
48,0,0.001,6,1,25,StandardScaler()
49,0,0.001,6,1,25,MinMaxScaler()
50,0,0.001,6,1,25,RobustScaler()
51,0,0.001,6,1,50,StandardScaler()
52,0,0.001,6,1,50,MinMaxScaler()
53,0,0.001,6,1,50,RobustScaler()
54,0,0.001,6,1,75,StandardScaler()
55,0,0.001,6,1,75,MinMaxScaler()
56,0,0.001,6,1,75,RobustScaler()
57,0,0.001,6,1,100,StandardScaler()
58,0,0.001,6,1,100,MinMaxScaler()
59,0,0.001,6,1,100,RobustScaler()
60,0,0.001,6,3,25,StandardScaler()
61,0,0.001,6,3,25,MinMaxScaler()
62,0,0.001,6,3,25,RobustScaler()
63,0,0.001,6,3,50,StandardScaler()
64,0,0.001,6,3,50,MinMaxScaler()
65,0,0.001,6,3,50,RobustScaler()
66,0,0.001,6,3,75,StandardScaler()
67,0,0.001,6,3,75,MinMaxScaler()
68,0,0.001,6,3,75,RobustScaler()
69,0,0.001,6,3,100,StandardScaler()
70,0,0.001,6,3,100,MinMaxScaler()
71,0,0.001,6,3,100,RobustScaler()
72,0,0.001,10,1,25,StandardScaler()
73,0,0.001,10,1,25,MinMaxScaler()
74,0,0.001,10,1,25,RobustScaler()
75,0,0.001,10,1,50,StandardScaler()
76,0,0.001,10,1,50,MinMaxScaler()
77,0,0.001,10,1,50,RobustScaler()
78,0,0.001,10,1,75,StandardScaler()
79,0,0.001,10,1,75,MinMaxScaler()
80,0,0.001,10,1,75,RobustScaler()
81,0,0.001,10,1,100,StandardScaler()
82,0,0.001,10,1,100,MinMaxScaler()
83,0,0.001,10,1,100,RobustScaler()
84,0,0.001,10,3,25,StandardScaler()
85,0,0.001,10,3,25,MinMaxScaler()
86,0,0.001,10,3,25,RobustScaler()
87,0,0.001,10,3,50,StandardScaler()
88,0,0.001,10,3,50,MinMaxScaler()
89,0,0.001,10,3,50,RobustScaler()
90,0,0.001,10,3,75,StandardScaler()
91,0,0.001,10,3,75,MinMaxScaler()
92,0,0.001,10,3,75,RobustScaler()
93,0,0.001,10,3,100,StandardScaler()
94,0,0.001,10,3,100,MinMaxScaler()
95,0,0.001,10,3,100,RobustScaler()
96,0,0.01,2,1,25,StandardScaler()
97,0,0.01,2,1,25,MinMaxScaler()
98,0,0.01,2,1,25,RobustScaler()
99,1,0.01,2,1,50,StandardScaler()
100,1,0.01,2,1,50,MinMaxScaler()
101,1,0.01,2,1,50,RobustScaler()
102,1,0.01,2,1,75,StandardScaler()
103,1,0.01,2,1,75,MinMaxScaler()
104,1,0.01,2,1,75,RobustScaler()
105,1,0.01,2,1,100,StandardScaler()
106,1,0.01,2,1,100,MinMaxScaler()
107,1,0.01,2,1,100,RobustScaler()
108,0,0.01,2,3,25,StandardScaler()
109,0,0.01,2,3,25,MinMaxScaler()
110,0,0.01,2,3,25,RobustScaler()
111,1,0.01,2,3,50,StandardScaler()
112,1,0.01,2,3,50,MinMaxScaler()
113,1,0.01,2,3,50,RobustScaler()
114,1,0.01,2,3,75,StandardScaler()
115,1,0.01,2,3,75,MinMaxScaler()
116,1,0.01,2,3,75,RobustScaler()
117,1,0.01,2,3,100,StandardScaler()
118,1,0.01,2,3,100,MinMaxScaler()
119,1,0.01,2,3,100,RobustScaler()
120,0,0.01,4,1,25,StandardScaler()
121,0,0.01,4,1,25,MinMaxScaler()
122,0,0.01,4,1,25,RobustScaler()
123,0,0.01,4,1,50,StandardScaler()
124,0,0.01,4,1,50,MinMaxScaler()
125,0,0.01,4,1,50,RobustScaler()
126,1,0.01,4,1,75,StandardScaler()
127,1,0.01,4,1,75,MinMaxScaler()
128,1,0.01,4,1,75,RobustScaler()
129,1,0.01,4,1,100,StandardScaler()
130,1,0.01,4,1,100,MinMaxScaler()
131,1,0.01,4,1,100,RobustScaler()
132,0,0.01,4,3,25,StandardScaler()
133,0,0.01,4,3,25,MinMaxScaler()
134,0,0.01,4,3,25,RobustScaler()
135,0,0.01,4,3,50,StandardScaler()
136,0,0.01,4,3,50,MinMaxScaler()
137,0,0.01,4,3,50,RobustScaler()
138,1,0.01,4,3,75,StandardScaler()
139,1,0.01,4,3,75,MinMaxScaler()
140,1,0.01,4,3,75,RobustScaler()
141,1,0.01,4,3,100,StandardScaler()
142,1,0.01,4,3,100,MinMaxScaler()
143,1,0.01,4,3,100,RobustScaler()
144,0,0.01,6,1,25,StandardScaler()
145,0,0.01,6,1,25,MinMaxScaler()
146,0,0.01,6,1,25,RobustScaler()
147,0,0.01,6,1,50,StandardScaler()
148,0,0.01,6,1,50,MinMaxScaler()
149,0,0.01,6,1,50,RobustScaler()
150,0,0.01,6,1,75,StandardScaler()
151,0,0.01,6,1,75,MinMaxScaler()
152,0,0.01,6,1,75,RobustScaler()
153,0,0.01,6,1,100,StandardScaler()
154,0,0.01,6,1,100,MinMaxScaler()
155,0,0.01,6,1,100,RobustScaler()
156,0,0.01,6,3,25,StandardScaler()
157,0,0.01,6,3,25,MinMaxScaler()
158,0,0.01,6,3,25,RobustScaler()
159,0,0.01,6,3,50,StandardScaler()
160,0,0.01,6,3,50,MinMaxScaler()
161,0,0.01,6,3,50,RobustScaler()
162,0,0.01,6,3,75,StandardScaler()
163,0,0.01,6,3,75,MinMaxScaler()
164,0,0.01,6,3,75,RobustScaler()
165,0,0.01,6,3,100,StandardScaler()
166,0,0.01,6,3,100,MinMaxScaler()
167,0,0.01,6,3,100,RobustScaler()
168,0,0.01,10,1,25,StandardScaler()
169,0,0.01,10,1,25,MinMaxScaler()
170,0,0.01,10,1,25,RobustScaler()
171,0,0.01,10,1,50,StandardScaler()
172,0,0.01,10,1,50,MinMaxScaler()
173,0,0.01,10,1,50,RobustScaler()
174,0,0.01,10,1,75,StandardScaler()
175,0,0.01,10,1,75,MinMaxScaler()
176,0,0.01,10,1,75,RobustScaler()
177,0,0.01,10,1,100,StandardScaler()
178,0,0.01,10,1,100,MinMaxScaler()
179,0,0.01,10,1,100,RobustScaler()
180,0,0.01,10,3,25,StandardScaler()
181,0,0.01,10,3,25,MinMaxScaler()
182,0,0.01,10,3,25,RobustScaler()
183,0,0.01,10,3,50,StandardScaler()
184,0,0.01,10,3,50,MinMaxScaler()
185,0,0.01,10,3,50,RobustScaler()
186,0,0.01,10,3,75,StandardScaler()
187,0,0.01,10,3,75,MinMaxScaler()
188,0,0.01,10,3,75,RobustScaler()
189,0,0.01,10,3,100,StandardScaler()
190,0,0.01,10,3,100,MinMaxScaler()
191,0,0.01,10,3,100,RobustScaler()
192,1,0.1,2,1,25,StandardScaler()
193,1,0.1,2,1,25,MinMaxScaler()
194,1,0.1,2,1,25,RobustScaler()
195,1,0.1,2,1,50,StandardScaler()
196,1,0.1,2,1,50,MinMaxScaler()
197,1,0.1,2,1,50,RobustScaler()
198,1,0.1,2,1,75,StandardScaler()
199,1,0.1,2,1,75,MinMaxScaler()
200,1,0.1,2,1,75,RobustScaler()
201,1,0.1,2,1,100,StandardScaler()
202,1,0.1,2,1,100,MinMaxScaler()
203,1,0.1,2,1,100,RobustScaler()
204,1,0.1,2,3,25,StandardScaler()
205,1,0.1,2,3,25,MinMaxScaler()
206,1,0.1,2,3,25,RobustScaler()
207,1,0.1,2,3,50,StandardScaler()
208,1,0.1,2,3,50,MinMaxScaler()
209,1,0.1,2,3,50,RobustScaler()
210,1,0.1,2,3,75,StandardScaler()
211,1,0.1,2,3,75,MinMaxScaler()
212,1,0.1,2,3,75,RobustScaler()
213,1,0.1,2,3,100,StandardScaler()
214,1,0.1,2,3,100,MinMaxScaler()
215,1,0.1,2,3,100,RobustScaler()
216,1,0.1,4,1,25,StandardScaler()
217,1,0.1,4,1,25,MinMaxScaler()
218,1,0.1,4,1,25,RobustScaler()
219,1,0.1,4,1,50,StandardScaler()
220,1,0.1,4,1,50,MinMaxScaler()
221,1,0.1,4,1,50,RobustScaler()
222,1,0.1,4,1,75,StandardScaler()
223,1,0.1,4,1,75,MinMaxScaler()
224,1,0.1,4,1,75,RobustScaler()
225,1,0.1,4,1,100,StandardScaler()
226,1,0.1,4,1,100,MinMaxScaler()
227,1,0.1,4,1,100,RobustScaler()
228,0,0.1,4,3,25,StandardScaler()
229,0,0.1,4,3,25,MinMaxScaler()
230,0,0.1,4,3,25,RobustScaler()
231,0,0.1,4,3,50,StandardScaler()
232,0,0.1,4,3,50,MinMaxScaler()
233,0,0.1,4,3,50,RobustScaler()
234,0,0.1,4,3,75,StandardScaler()
235,0,0.1,4,3,75,MinMaxScaler()
236,0,0.1,4,3,75,RobustScaler()
237,0,0.1,4,3,100,StandardScaler()
238,0,0.1,4,3,100,MinMaxScaler()
239,0,0.1,4,3,100,RobustScaler()
240,1,0.1,6,1,25,StandardScaler()
241,1,0.1,6,1,25,MinMaxScaler()
242,1,0.1,6,1,25,RobustScaler()
243,1,0.1,6,1,50,StandardScaler()
244,1,0.1,6,1,50,MinMaxScaler()
245,1,0.1,6,1,50,RobustScaler()
246,1,0.1,6,1,75,StandardScaler()
247,1,0.1,6,1,75,MinMaxScaler()
248,1,0.1,6,1,75,RobustScaler()
249,1,0.1,6,1,100,StandardScaler()
250,1,0.1,6,1,100,MinMaxScaler()
251,1,0.1,6,1,100,RobustScaler()
252,0,0.1,6,3,25,StandardScaler()
253,0,0.1,6,3,25,MinMaxScaler()
254,0,0.1,6,3,25,RobustScaler()
255,1,0.1,6,3,50,StandardScaler()
256,1,0.1,6,3,50,MinMaxScaler()
257,1,0.1,6,3,50,RobustScaler()
258,1,0.1,6,3,75,StandardScaler()
259,1,0.1,6,3,75,MinMaxScaler()
260,1,0.1,6,3,75,RobustScaler()
261,1,0.1,6,3,100,StandardScaler()
262,1,0.1,6,3,100,MinMaxScaler()
263,1,0.1,6,3,100,RobustScaler()
264,0,0.1,10,1,25,StandardScaler()
265,0,0.1,10,1,25,MinMaxScaler()
266,0,0.1,10,1,25,RobustScaler()
267,0,0.1,10,1,50,StandardScaler()
268,0,0.1,10,1,50,MinMaxScaler()
269,0,0.1,10,1,50,RobustScaler()
270,0,0.1,10,1,75,StandardScaler()
271,0,0.1,10,1,75,MinMaxScaler()
272,0,0.1,10,1,75,RobustScaler()
273,1,0.1,10,1,100,StandardScaler()
274,1,0.1,10,1,100,MinMaxScaler()
275,1,0.1,10,1,100,RobustScaler()
276,0,0.1,10,3,25,StandardScaler()
277,0,0.1,10,3,25,MinMaxScaler()
278,0,0.1,10,3,25,RobustScaler()
279,0,0.1,10,3,50,StandardScaler()
280,0,0.1,10,3,50,MinMaxScaler()
281,0,0.1,10,3,50,RobustScaler()
282,0,0.1,10,3,75,StandardScaler()
283,0,0.1,10,3,75,MinMaxScaler()
284,0,0.1,10,3,75,RobustScaler()
285,1,0.1,10,3,100,StandardScaler()
286,1,0.1,10,3,100,MinMaxScaler()
287,1,0.1,10,3,100,RobustScaler()
